,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
10,0.201866955,0.451722294,0.182047963,0.468712509,0.185494974,0.430966496,0.166162387,0.498160005,0.177294552,0.408366501,0.228661358,0.550973952,0.240016952,0.375938714,0.357404798,0.492080331,0.359243453,0.396995902,0.460154653,0.445171177,0.46952185,0.404896736,0.411278635,0.542128742,0.418038636,0.437361449,0.546941996,0.524589658,0.548161209,0.418248773,0.710222781,0.516861916,0.712582946,0.39175424
11,0.198205128,0.450792193,0.179320842,0.467240721,0.182912022,0.430241019,0.164733902,0.497574955,0.174344659,0.412142634,0.231573075,0.546990633,0.235735178,0.383675933,0.359897763,0.481295347,0.358541101,0.392033488,0.462717593,0.427546382,0.466394752,0.384779513,0.4129484,0.543166697,0.414524734,0.435407102,0.550745547,0.524716914,0.562128365,0.416010112,0.708954573,0.517100036,0.710072756,0.39042294
12,0.198857069,0.451146007,0.179637119,0.467406094,0.183563143,0.430221975,0.164893702,0.49863261,0.174893513,0.411224097,0.23110649,0.54780829,0.236027226,0.382812858,0.361177176,0.478839368,0.358805805,0.391709447,0.462708622,0.424148381,0.466318369,0.384159833,0.412056893,0.542478383,0.413674265,0.438044965,0.548110604,0.52473706,0.561412632,0.415339053,0.706053793,0.516308606,0.707045913,0.395361632
13,0.19977285,0.455972522,0.18100898,0.472873896,0.184246689,0.434970289,0.167580619,0.500387192,0.17634517,0.415894359,0.23400636,0.549310684,0.233331725,0.387866616,0.354984075,0.474539697,0.346811026,0.376558602,0.450275749,0.402608007,0.453132063,0.359191597,0.4107472,0.544425845,0.410430044,0.435559571,0.549966753,0.524655402,0.56038487,0.41204071,0.712364674,0.514160097,0.711026788,0.392095327
14,0.201260626,0.457335323,0.182180732,0.475161463,0.184218898,0.435265005,0.168558165,0.503001392,0.177022606,0.415089667,0.232392997,0.548482895,0.230428815,0.386567116,0.358634651,0.472450435,0.34668225,0.377116024,0.450239927,0.401797503,0.452508628,0.361002594,0.408971757,0.540098786,0.411951482,0.432767659,0.549586117,0.521682441,0.55856055,0.413984418,0.709857523,0.517888129,0.710318267,0.394353032
15,0.201961637,0.452350885,0.183223128,0.471321493,0.185645342,0.432627529,0.169137791,0.500523567,0.175679877,0.414879888,0.233000472,0.546457589,0.23058328,0.391727626,0.353933483,0.464998007,0.341753602,0.373095185,0.450137943,0.382149398,0.452065319,0.346529663,0.407318413,0.539695442,0.408690304,0.432885289,0.551815152,0.521364808,0.563647211,0.409894973,0.713165939,0.514136255,0.711566329,0.394608915
16,0.200588822,0.454933554,0.182802603,0.475915521,0.185572833,0.437109828,0.16926001,0.505823493,0.176201433,0.418238133,0.233127624,0.544432342,0.221534729,0.386363775,0.339340359,0.472516268,0.337343037,0.372242421,0.438084304,0.370772034,0.437638432,0.329604298,0.405818671,0.543467045,0.406822205,0.436490417,0.552206516,0.521926999,0.559164703,0.417097509,0.714133859,0.513483703,0.714859545,0.39254874
17,0.202395663,0.454900533,0.185265988,0.475932449,0.188452825,0.437711298,0.170723274,0.504995883,0.176877886,0.418317467,0.23421219,0.548638403,0.224691465,0.386117637,0.34138459,0.461378217,0.33777681,0.371439874,0.437747121,0.371766746,0.440144688,0.328678697,0.405921757,0.541624844,0.409341067,0.436831623,0.552108586,0.52205795,0.557626903,0.415694296,0.711937547,0.514236093,0.715503633,0.392397642
18,0.197757795,0.458772123,0.1805121,0.479647458,0.183606654,0.439977616,0.167612806,0.508184195,0.175662979,0.42005828,0.235976726,0.547655284,0.219787329,0.389153838,0.340407461,0.454464465,0.335808724,0.369647413,0.436142325,0.338655651,0.436570972,0.314212084,0.407169342,0.545343816,0.409336358,0.438436657,0.552716196,0.519772649,0.563893378,0.413048357,0.713443637,0.514576495,0.715517402,0.390480459
19,0.200593114,0.458359778,0.182535127,0.478085428,0.185090899,0.440235049,0.169541657,0.506975651,0.17485781,0.421142399,0.236212119,0.549117863,0.222181827,0.389436305,0.340160847,0.458891004,0.332966149,0.373169899,0.433780432,0.342495054,0.430164814,0.316469103,0.405514538,0.545434058,0.407585829,0.439079165,0.553685606,0.522951603,0.555221379,0.416094184,0.709405422,0.515409589,0.715077698,0.393476695
